CHECKPOINT,2024-12-13T08:16:46.694919,[]
CHECKPOINT,2024-12-13T08:16:46.696041,[]
CHECKPOINT,2024-12-13T10:30:13.839883,[]
CHECKPOINT,2024-12-13T10:30:13.842850,[]
CHECKPOINT,2024-12-13T10:44:07.646157,[]
CHECKPOINT,2024-12-13T10:44:07.647224,[]
CHECKPOINT,2024-12-13T13:43:16.171862,[]
CHECKPOINT,2024-12-13T13:43:16.173869,[]
CHECKPOINT,2024-12-13T13:43:16.173869,[]
CHECKPOINT,2024-12-13T13:48:16.175930,[]
CHECKPOINT,2024-12-13T13:48:16.177441,[]
CHECKPOINT,2024-12-13T13:48:16.179441,[]
CHECKPOINT,2024-12-13T13:53:16.180683,[]
CHECKPOINT,2024-12-13T13:53:16.182693,[]
CHECKPOINT,2024-12-13T13:53:16.183692,[]
CHECKPOINT,2024-12-13T14:09:54.241441,[]
CHECKPOINT,2024-12-13T14:09:54.243446,[]
CHECKPOINT,2024-12-13T14:09:54.244447,[]
CHECKPOINT,2024-12-13T14:09:54.245447,[]
CHECKPOINT,2024-12-13T14:16:46.021960,[]
CHECKPOINT,2024-12-13T14:16:46.022883,[]
CHECKPOINT,2024-12-13T14:16:46.022883,[]
CHECKPOINT,2024-12-13T14:16:46.023984,[]
